,variable,description
130,ACLWDNTC,ACCUMULATED DOWNWELLING CLEAR SKY LONGWAVE FLUX AT TOP
131,ACLWUPB,ACCUMULATED UPWELLING LONGWAVE FLUX AT BOTTOM
132,ACLWUPBC,ACCUMULATED UPWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
133,ACLWDNB,ACCUMULATED DOWNWELLING LONGWAVE FLUX AT BOTTOM
134,ACLWDNBC,ACCUMULATED DOWNWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
135,I_ACSWUPT,BUCKET FOR UPWELLING SHORTWAVE FLUX AT TOP
136,I_ACSWUPTC,BUCKET FOR UPWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
137,I_ACSWDNT,BUCKET FOR DOWNWELLING SHORTWAVE FLUX AT TOP
138,I_ACSWDNTC,BUCKET FOR DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
139,I_ACSWUPB,BUCKET FOR UPWELLING SHORTWAVE FLUX AT BOTTOM
140,I_ACSWUPBC,BUCKET FOR UPWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
141,I_ACSWDNB,BUCKET FOR DOWNWELLING SHORTWAVE FLUX AT BOTTOM
142,I_ACSWDNBC,BUCKET FOR DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
143,I_ACLWUPT,BUCKET FOR UPWELLING LONGWAVE FLUX AT TOP
144,I_ACLWUPTC,BUCKET FOR UPWELLING CLEAR SKY LONGWAVE FLUX AT TOP
145,I_ACLWDNT,BUCKET FOR DOWNWELLING LONGWAVE FLUX AT TOP
146,I_ACLWDNTC,BUCKET FOR DOWNWELLING CLEAR SKY LONGWAVE FLUX AT TOP
147,I_ACLWUPB,BUCKET FOR UPWELLING LONGWAVE FLUX AT BOTTOM
148,I_ACLWUPBC,BUCKET FOR UPWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
149,I_ACLWDNB,BUCKET FOR DOWNWELLING LONGWAVE FLUX AT BOTTOM
150,I_ACLWDNBC,BUCKET FOR DOWNWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
151,SWUPT,INSTANTANEOUS UPWELLING SHORTWAVE FLUX AT TOP
152,SWUPTC,INSTANTANEOUS UPWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
153,SWDNT,INSTANTANEOUS DOWNWELLING SHORTWAVE FLUX AT TOP
154,SWDNTC,INSTANTANEOUS DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
155,SWUPB,INSTANTANEOUS UPWELLING SHORTWAVE FLUX AT BOTTOM
156,SWUPBC,INSTANTANEOUS UPWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
157,SWDNB,INSTANTANEOUS DOWNWELLING SHORTWAVE FLUX AT BOTTOM
158,SWDNBC,INSTANTANEOUS DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
159,LWUPT,INSTANTANEOUS UPWELLING LONGWAVE FLUX AT TOP
160,LWUPTC,INSTANTANEOUS UPWELLING CLEAR SKY LONGWAVE FLUX AT TOP
161,LWDNT,INSTANTANEOUS DOWNWELLING LONGWAVE FLUX AT TOP
162,LWDNTC,INSTANTANEOUS DOWNWELLING CLEAR SKY LONGWAVE FLUX AT TOP
163,LWUPB,INSTANTANEOUS UPWELLING LONGWAVE FLUX AT BOTTOM
164,LWUPBC,INSTANTANEOUS UPWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
165,LWDNB,INSTANTANEOUS DOWNWELLING LONGWAVE FLUX AT BOTTOM
166,LWDNBC,INSTANTANEOUS DOWNWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
167,OLR,TOA OUTGOING LONG WAVE
168,ALBEDO,ALBEDO
169,CLAT,"COMPUTATIONAL GRID LATITUDE, SOUTH IS NEGATIVE"
170,ALBBCK,BACKGROUND ALBEDO
171,EMISS,SURFACE EMISSIVITY
172,NOAHRES,RESIDUAL OF THE NOAH SURFACE ENERGY BUDGET
173,TV,vegetation leaf temperature
174,TG,bulk ground temperature
175,TSNO,snow temperature
176,ZSNSO,layer-bottom depth from snow surf
177,SNICE,snow layer ice
178,SNLIQ,snow layer liquid
179,TRAD,surface radiative temperature
180,QSLAT,sum lateral flow
181,QRFS,sum baseflow
182,RECH,sum water table recharge
183,QSPRINGS,sum seeping water
184,ACINTS,acccumlated QINTS
185,ACINTR,acccumlated QINTR
186,ACDRIPR,acccumlated QDRIPR
187,ACTHROR,acccumlated QTHROR
188,ACEVAC,acccumlated QEVAC
189,ACDEWC,acccumlated QDEWC
190,FORCTLSM,lowest model T into LSM
191,FORCQLSM,lowest model Q into LSM
192,FORCPLSM,lowest model P into LSM
193,FORCZLSM,lowest model Z into LSM
194,FORCWLSM,lowest model wind speed into LSM
195,CANICE,intercepted ice mass
196,SMCWTD,deep soil moisture
197,ZWT,water table depth
198,ACRAINLSM,acccumlated RAINLSM
199,ACRUNSB,acccumlated RUNSF
200,ACRUNSF,acccumlated RUNSB
201,ACECAN,acccumlated ECAN
202,ACETRAN,acccumlated ETRAN
203,ACEDIR,acccumlated EDIR
204,ACQLAT,accumulated lateral flow
205,ACQRF,accumulated baseflow
206,ACETLSM,acccumlated ET
207,ACSNOWLSM,acccumlated SNOWLSM
208,ACSUBC,acccumlated QSUBC
209,ACFROC,acccumlated QFROC
210,ACFRZC,acccumlated QFRZC
211,ACMELTC,acccumlated QMELTC
212,ACSNBOT,acccumlated QSNBOT
213,ACPONDING,acccumlated PONDING
214,ACSNSUB,acccumlated QSNSUB
215,ACSNFRO,acccumlated QSNFRO
216,ACRAINSNOW,acccumlated rain on snow pack
217,ACDRIPS,acccumlated QDRIPS
218,ACTHROS,acccumlated QTHROS
219,ACSAGB,acccumlated SAG under vegetation
220,ACIRB,acccumlated IRB
221,ACSHB,acccumlated SHB
222,ACEVB,acccumlated EVB
223,ACGHB,acccumlated GHB
224,ACPAHB,acccumlated PAHB
225,ACSAGV,acccumlated SAG in bare section
226,ACIRG,acccumlated IRG
227,ACSHG,acccumlated SHG
228,ACEVG,acccumlated EVG
229,ACGHV,acccumlated GHV
230,ACPAHG,acccumlated PAHG
231,ACSAV,acccumlated SAV
232,ACIRC,acccumlated IRC
233,ACSHC,acccumlated SHC
234,ACEVC,acccumlated EVC
235,ACTR,acccumlated TR
236,ACPAHV,acccumlated PAHV
237,ACSWDNLSM,acccumlated SWDN
238,ACSWUPLSM,acccumlated SWUP
239,ACLWDNLSM,acccumlated LWDN
240,ACLWUPLSM,acccumlated LWUP
241,ACSHFLSM,acccumlated total sensible heat flux
242,ACLHFLSM,acccumlated total latent heat flux
243,ACGHFLSM,acccumlated total ground heat flux
244,ACPAHLSM,acccumlated total precip heat flux
245,SOILENERGY,energy content in soil relative to 273.16
246,SNOWENERGY,energy content in snow relative to 273.16
247,ACEFLXB,acccumlated EFLXB
248,TMN,SOIL TEMPERATURE AT LOWER BOUNDARY
249,XLAND,"LAND MASK (1 FOR LAND, 2 FOR WATER)"
250,UST,U* IN SIMILARITY THEORY
251,PBLH,PBL HEIGHT
252,HFX,UPWARD HEAT FLUX AT THE SURFACE
253,QFX,UPWARD MOISTURE FLUX AT THE SURFACE
254,LH,LATENT HEAT FLUX AT THE SURFACE
255,ACHFX,ACCUMULATED UPWARD HEAT FLUX AT THE SURFACE
256,ACLHF,ACCUMULATED UPWARD LATENT HEAT FLUX AT THE SURFACE
257,SNOWC,FLAG INDICATING SNOW COVERAGE (1 FOR SNOW COVER)
258,SR,fraction of frozen precipitation
259,SAVE_TOPO_FROM_REAL,1=original topo from real/0=topo modified by WRF
260,WSPD10MAX,WIND SPD MAX 10 M
261,W_UP_MAX,MAX Z-WIND UPDRAFT
262,W_DN_MAX,MAX Z-WIND DOWNDRAFT
263,REFD_MAX,MAX DERIVED RADAR REFL
264,REFL_1KM_AGL,1KM AGL REFLECTIVITY
265,REFL_COM,COMPOSITE REFLECTIVITY
266,UP_HELI_MAX,MAX UPDRAFT HELICITY
267,W_MEAN,HOURLY MEAN Z-WIND
268,GRPL_MAX,MAX COL INT GRAUPEL
269,HAIL_MAXK1,MAX HAIL DIAMETER K=1
270,HAIL_MAX2D,MAX HAIL DIAMETER ENTIRE COLUMN
271,SBCAPE,SURFACE-BASED CAPE
272,MLCAPE,MIXED-LAYER CAPE
273,MUCAPE,MOST-UNSTABLE CAPE
274,SBCINH,SURFACE-BASED CINH
275,MLCINH,MIXED-LAYER CINH
276,MUCINH,MOST-UNSTABLE CINH
277,SBLCL,SURFACE-BASED LCL
278,MLLCL,MIXED-LAYER LCL
279,MULCL,MOST-UNSTABLE LCL
280,USHR1,0-1km AGL U-component Wind Shear
281,USHR6,0-6km AGL U-component Wind Shear
282,VSHR1,0-1km AGL V-component Wind Shear
283,VSHR6,0-6km AGL V-component Wind Shear
284,U_BUNK,U-component of Bunkers storm motion
285,V_BUNK,V-component of Bunkers storm motion
286,SRH01,0-1km storm-relative helicity
287,SRH03,0-3km storm-relative helicity
288,TD2,2-m dewpoint temperature
289,PREC_ACC_C,ACCUMULATED CUMULUS PRECIPITATION OVER prec_acc_dt PERIODS OF TIME
290,PREC_ACC_NC,ACCUMULATED GRID SCALE  PRECIPITATION OVER prec_acc_dt PERIODS OF TIME
291,SNOW_ACC_NC,ACCUMULATED SNOW WATER EQUIVALENT OVER prec_acc_dt PERIODS OF TIME
292,GRAUPEL_ACC_NC,ACCUMULATED GRAUPEL WATER EQUIVALENT OVER prec_acc_dt PERIODS OF TIME
293,ISEEDARR_SPPT,"Array to hold seed for restart, SPPT"
294,ISEEDARR_SKEBS,"Array to hold seed for restart, SKEBS"
295,ISEEDARR_RAND_PERTURB,"Array to hold seed for restart, RAND_PERT"
296,ISEEDARRAY_SPP_CONV,"Array to hold seed for restart, RAND_PERT2"
297,ISEEDARRAY_SPP_PBL,"Array to hold seed for restart, RAND_PERT3"
298,ISEEDARRAY_SPP_LSM,"Array to hold seed for restart, RAND_PERT4"
299,BF,"full levels, bf=0 => isobaric; bf=znw => sigma"
300,C1H,"half levels, c1h = d bf / d eta, using znw"
301,C2H,"half levels, c2h = (1-c1h)*(p0-pt)"
302,BH,"half levels, bh=0 => isobaric; bh=znu => sigma"
303,C1F,"full levels, c1f = d bf / d eta, using znu"
304,C2F,"full levels, c2f = (1-c1f)*(p0-pt)"
305,C3H,"half levels, c3h = bh"
306,C4H,"half levels, c4h = (eta-bh)*(p0-pt)+pt, using znu"
307,C3F,"full levels, c3f = bf"
308,C4F,"full levels, c4f = (eta-bf)*(p0-pt)+pt, using znw"
309,PCB,base state dry air mass in column
310,PC,perturbation dry air mass in column
311,LANDMASK,"LAND MASK (1 FOR LAND, 0 FOR WATER)"
312,LAKEMASK,"LAKE MASK (1 FOR LAKE, 0 FOR NON-LAKE)"
313,SST,SEA SURFACE TEMPERATURE
314,SST_INPUT,SEA SURFACE TEMPERATURE FROM WRFLOWINPUT FILE
